URL,Version,Status,OIDs,Name,Title,Description,Used
http://dicom.nema.org/resources/ontology/DCM,01,active,"1.2.840.10008.2.16.4",DICOM Controlled Terminology Definitions,,"DICOM Code Definitions (Coding Scheme Designator ""DCM"" Coding Scheme Version ""01"")","ValueSet/security-role-type"
http://hl7.org/fhir/CodeSystem/medication-statement-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.1379",Medication Status Codes,Medication  status  codes,"Medication Status Codes","ValueSet/medication-statement-status"
http://hl7.org/fhir/CodeSystem/medication-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.1380",Medication Status Codes,Medication  status  codes,"Medication Status Codes","ValueSet/medication-status"
http://hl7.org/fhir/CodeSystem/medicationrequest-intent,4.0.1,draft,"2.16.840.1.113883.4.642.4.1378",medicationRequest Intent,Medication request  intent,"MedicationRequest Intent Codes","ValueSet/medicationrequest-intent"
http://hl7.org/fhir/CodeSystem/medicationrequest-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.1377",medicationrequest Status,Medicationrequest  status,"MedicationRequest Status Codes","ValueSet/medicationrequest-status"
http://hl7.org/fhir/address-type,4.0.1,active,"2.16.840.1.113883.4.642.4.70",AddressType,AddressType,"The type of an address (physical / postal).","ValueSet/address-type"
http://hl7.org/fhir/address-use,4.0.1,active,"2.16.840.1.113883.4.642.4.68",AddressUse,AddressUse,"The use of an address.","ValueSet/address-use"
http://hl7.org/fhir/administrative-gender,4.0.1,active,"2.16.840.1.113883.4.642.4.2",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","ValueSet/administrative-gender"
http://hl7.org/fhir/allergy-intolerance-category,4.0.1,draft,"2.16.840.1.113883.4.642.4.134",AllergyIntoleranceCategory,AllergyIntoleranceCategory,"Category of an identified substance associated with allergies or intolerances.","ValueSet/allergy-intolerance-category"
http://hl7.org/fhir/allergy-intolerance-criticality,4.0.1,draft,"2.16.840.1.113883.4.642.4.130",AllergyIntoleranceCriticality,AllergyIntoleranceCriticality,"Estimate of the potential clinical harm, or seriousness, of a reaction to an identified substance.","ValueSet/allergy-intolerance-criticality"
